id	title	sysname
215	Sammlungen	sammlungen
216	Archives	archives
217	Libraries	libraries
218	Architecture & Landmarks	architecture_landmarks
219	Courses	courses
220	eLearning	elearning
221	Fashion- & Designschools	fashion_designschools
222	Actors Schools	actors_schools
223	Calender of Events (links)	calender_events_links
224	Events & Performances	events_performances
225	Trade Shows & Exhibitions	trade_shows_exhibitions
226	Conferences & Workshops	conferences_workshops
227	Grants & Scholarships	grants_scholarships
228	Project Exchanges	project_exchanges
229	Time-Work	time_work
230	Recruitment Agencies	recruitment_agencies
231	Filmstudios	filmstudios
232	Photostudios	photostudios
233	Sound Studios	sound_studios
234	Flat Agencies	flat_agencies
235	Boarding Houses	boarding_houses
236	Hotels	hotels
237	Coaching	coaching
238	Insurances	insurances
239	Venture Capital	venture_capital
240	Fundraising	fundraising
241	Filmsubsidy & Filmfonds	filmsubsidy_filmfonds
242	Business Development	business_development
243	Dance Schools	dance_schools
244	Filming Permits	filming_permits
245	Collecting Societies	collecting_societies
247	Book & Press Distribution	book_press_distribution
248	Selfpublishing	selfpublishing
249	Digital Media Publisher	digital_media_publisher
250	Audiobook Publisher	audiobook_publisher
251	Corporate Publishing	corporate_publishing
252	Daily Newspaper	daily_newspaper
253	Weekly Newspaper	weekly_newspaper
254	Magazine	magazine
255	Play Publisher	play_publisher
256	Local Radio	local_radio
257	Local Television	local_television_2
258	Promotion & Event	promotion_event
259	Advertising & Marketing	advertising_marketing
260	Press & Public Relations	press_public_relations
261	Sales Promotion & Merchandising	sales_promotion_agency
262	Event Agency	event_agency
263	Sponsoring	sponsoring
264	Product Placement	product_placement
265	Incentives	incentives
266	PR Agencies	pr_agencies
267	Advertising Agencies	advertising_agencies
268	Media Agencies	media_agencies
269	Multimedia Agencies	multimedia_agencies
270	Out-of-Home Advertising	out_home_advertising
271	Film Marketing	film_marketing
272	Retail Marketing	retail_marketing
273	Music Marketing	music_marketing
274	Cultural Marketing	cultural_marketing
275	Direct Marketing	direct_marketing
276	Market- & Opinion Research	market_opinion_research
277	Internet Marketing	internet_marketing
278	Mobile Marketing	mobile_marketing
279	Email Marketing	email_marketing
280	Affiliate Marketing	affiliate_marketing
281	Database Marketing	database_marketing
282	Phone Marketing	phone_marketing
283	Lettershops	lettershops
284	Film Distributors	film_distributors
285	Font Archives	font_archives
287	Business Institutions	business_institutions
289	Fine Arts	fine_arts
